Stachel	Ort	Ortgeber	Kategorie	BildName	Zitat	Eckpunkte_yxmin_yx_max	png_name	angle_deg	numPoints
7	Plansche Singerstrasse	nn	Qualität	DSC00512.JPG	Andere Kinder nerven	4169, 2430, 3807, 2688, 3843, 2741, 4209, 2482	DSC00512.JPG_Blob12.png	35.47774	837
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Ärgerlich: die kleineren Kinder nerven, denn sie ziehen den Abflussstopp immer heraus, sodaß das Wasser sich nicht stauen kann	5051, 2317, 3877, 2820, 3918, 2920, 5098, 2419	DSC00512.JPG_Blob02.png	23.192698	2559
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Es gibt schöne Bänke.	2311, 1959, 2253, 1989, 2450, 2376, 2507, 2347	DSC00512.JPG_Blob15.png	-63.021908	891
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Es ist ein bisschen frischer hier	2000, 1976, 1953, 2014, 2321, 2476, 2372, 2437	DSC00512.JPG_Blob09.png	-51.461384	1028
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Es ist langweilig, es gibt ja nur das Wasser	4039, 1810, 3576, 2425, 3627, 2468, 4091, 1852	DSC00512.JPG_Blob07.png	53.025898	1349
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Es waren leider wenig Bäume in der Nähe	4274, 2026, 3707, 2545, 3750, 2595, 4320, 2073	DSC00512.JPG_Blob06.png	42.469234	1252
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Friedlich, viele Bäume	1905, 2267, 1863, 2315, 2206, 2602, 2246, 2553	DSC00512.JPG_Blob11.png	-39.92039	792
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Ist vielleicht interessanter für kleinere Kinder	3860, 1630, 3438, 2334, 3494, 2370, 3919, 1661	DSC00512.JPG_Blob05.png	59.060184	1530
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Leider kann man hier sonst nicht soviel machen, ist ein Problem, dass so viele alte Leute hier wohnen.	5271, 2761, 3930, 2970, 3945, 3076, 5298, 2866	DSC00512.JPG_Blob04.png	8.8585	2916
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Schön grün und ruhig	1768, 2458, 1732, 2511, 2108, 2751, 2143, 2698	DSC00512.JPG_Blob13.png	-32.550003	865
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Tolle Dusche, das war so ein Peitschendings … so ein Riesenarm. War ein Metallbogen, aus dem das Wasser auf die Kinder niederregnete, höher als heute	2208, 983, 2108, 1020, 2579, 2304, 2678, 2268	DSC00512.JPG_Blob01.png	-69.85583	2768
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Traurig - wenn kleine Kinder hinfallen, dann oft auf den Kopf	3653, 1265, 3281, 2268, 3338, 2291, 3714, 1289	DSC00512.JPG_Blob03.png	69.65082	2130
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	viele Kinder	2788, 1969, 2728, 1980, 2774, 2256, 2837, 2244	DSC00512.JPG_Blob16.png	-80.537674	677
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Wasser ist in 15 Minuten Intervallen an, dann 10 min Pause.	906, 2794, 894, 2852, 2009, 3070, 2023, 3010	DSC00512.JPG_Blob08.png	-11.062671	2363
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Wir gehen nur hin wenn es heiss ist mit der Klasse	3248, 1309, 3117, 2228, 3178, 2240, 3310, 1322	DSC00512.JPG_Blob10.png	81.88735	1970
7	Plansche Singerstrasse		Qualität	DSC00512.JPG	Wir mögen das Wasser	1643, 2664, 1619, 2719, 2046, 2899, 2071, 2844	DSC00512.JPG_Blob14.png	-22.857643	972
