mm:ss,pause
new klopf period,11815.0
59:6	,11815.0
new klopf period,1189.0
59:7	,1189.0
new klopf period,1434.0
59:8	,1434.0
new klopf period,1848.0
59:10	,1848.0
new klopf period,16177.0
59:27	,16177.0
new klopf period,2173.0
59:29	,2173.0
new klopf period,2882.0
59:32	,2882.0
new klopf period,864.0
59:32	,864.0
new klopf period,148.0
59:33	,148.0
new klopf period,715.0
59:33	,715.0
new klopf period,931.0
59:34	,931.0
new klopf period,848.0
59:35	,848.0
new klopf period,2119.0
59:37	,2119.0
new klopf period,849.0
59:38	,849.0
new klopf period,2684.0
59:41	,2684.0
new klopf period,292.0
59:41	,292.0
new klopf period,146.0
59:41	,146.0
