mm:ss,pause
new klopf period,10636.0
13:25	,10636.0
13:25	,898.0
13:25	,942.0
13:25	,3239.0
13:25	,723.0
new klopf period,46754.0
13:26	,46754.0
13:26	,1925.0
13:26	,547.0
13:26	,625.0
13:26	,705.0
13:26	,2098.0
13:26	,1780.0
13:26	,1008.0
new klopf period,15820.0
13:27	,15820.0
13:27	,562.0
13:27	,775.0
13:27	,623.0
13:27	,2654.0
13:27	,556.0
13:27	,385.0
13:27	,468.0
13:27	,701.0
13:27	,1011.0
13:27	,776.0
13:27	,576.0
13:27	,542.0
13:27	,543.0
13:27	,1243.0
13:27	,550.0
new klopf period,38073.0
13:27	,38073.0
13:27	,944.0
13:27	,1318.0
13:27	,702.0
new klopf period,7384.0
13:28	,7384.0
13:28	,1112.0
new klopf period,13485.0
13:28	,13485.0
13:28	,921.0
13:28	,1187.0
13:28	,706.0
new klopf period,35038.0
13:28	,35038.0
new klopf period,214486.0
13:32	,214486.0
new klopf period,8301.0
13:32	,8301.0
new klopf period,401657.0
13:39	,401657.0
new klopf period,29776.0
13:39	,29776.0
13:39	,2247.0
13:39	,1022.0
13:39	,156.0
13:39	,391.0
new klopf period,7018.0
13:40	,7018.0
13:40	,247.0
13:40	,628.0
13:40	,159.0
13:40	,160.0
13:40	,158.0
13:40	,160.0
13:40	,160.0
13:40	,319.0
13:40	,636.0
13:40	,484.0
13:40	,1870.0
13:40	,161.0
13:40	,163.0
13:40	,2006.0
13:40	,237.0
13:40	,1176.0
13:40	,157.0
13:40	,162.0
13:40	,175.0
13:40	,165.0
new klopf period,86207.0
13:41	,86207.0
new klopf period,20519.0
13:41	,20519.0
new klopf period,11018.0
13:42	,11018.0
new klopf period,29264.0
13:42	,29264.0
new klopf period,15328.0
13:42	,15328.0
