Stachel	Ort	Ortgeber, Kategorie	BildName	Zitat	Eckpunkte_yxmin_yx_max	png_name	angle_deg	numPoints
	Plansche Weydemeyerstr		DSC03420.JPG	ältere Bewohner weggezogen,				
	Plansche Weydemeyerstr		DSC03420.JPG	ungefähr fünfmal dort gewesen				
	Plansche Weydemeyerstr		DSC03420.JPG	Schon seit 1960 deutlich mehr junge Familien				
	Plansche Weydemeyerstr		DSC03420.JPG	Die Nichte war so temperamentvoll				
	Plansche Weydemeyerstr		DSC03420.JPG	habe keinen Lieblingsort				
	Plansche Weydemeyerstr		DSC03420.JPG	Mir gefällt die Art und Weise, wie das gebaut ist				
	Plansche Weydemeyerstr		DSC03420.JPG	1960-1980, ca 90 Minuten				
	Plansche Weydemeyerstr		DSC03420.JPG	Sprudelt nur zu bestimmten Zeiten, bei bestimmten Temperaturen				
	Plansche Weydemeyerstr		DSC03420.JPG	Im Vergleich zur Plansche Singerstr Hat sich nicht viel verändert. Die Struktur ist geblieben				
	Plansche Weydemeyerstr		DSC03420.JPG	völlig andere Gegend jetzt				
	Plansche Weydemeyerstr		DSC03420.JPG	war toll				
7	Plansche Singerstrasse	Claudia N	DSC03692.JPG	Der Ort war für kleine Kinder gemacht, aber wir nutzten ihn später bei schönem Wetter zum Treffen, Spielen, Flirten, Knutschen				
7	Plansche Singerstrasse	Claudia N	DSC03692.JPG	man hat sich getroffen				
7	Plansche Singerstrasse	Claudia N	DSC03692.JPG	Tolle Dusche, das war so ein Peitschendings … so ein Riesenarm. War ein Metallbogen, aus dem das Wasser auf die Kinder niederregnete, höher als heute				
7	Plansche Singerstrasse	Claudia N	DSC03692.JPG	Die Aufregung um Keime ist übertrieben.				
7	Plansche Singerstrasse	Claudia N	DSC03692.JPG	Die Schule (Ernst Wildangel Schule) hat uns dort während des Unterrichts nicht hingehen lassen, wegen ihrer Aufsichtspflicht. Aber irgendwann fanden wir Wege, uns doch dorthin zu schleichen				
7	Plansche Singerstrasse	Claudia N	DSC03692.JPG	Jahrelang ein Kampf um den Erhalt der Plansche (wie in der Weydemeyerstrasse).				
7	Plansche Singerstrasse	Claudia N	DSC03692.JPG	1964 - 1972, jeden Tag bei schönem Wetter				
7	Plansche Singerstrasse	Claudia N	DSC03692.JPG	Ober- und unterhalb der KMA jeweils eigene Nachbarschaften.				
7	Plansche Singerstrasse	Claudia N	DSC03692.JPG	Die Plansche war unser Ort				
7	Plansche Singerstrasse	Claudia N	DSC03692.JPG	Spielen, Treffen				
7	Plansche Singerstrasse	Claudia N	DSC03692.JPG	Wasser lief ab, blieb aber ca 20 cm hoch stehen.				
7	Plansche Singerstrasse	Claudia N	DSC03692.JPG	Es waren leider wenig Bäume in der Nähe				
	Plansche Weydemeyerstr	Dieter Jacob	DieterJacob_DSC05194.jpg	Atmo war entspannt				
